id_sorteio;numero
2900;33
2899;51
2898;23
2897;27
2896;9
2895;51
2894;24
2893;48
2892;24
2891;24
2890;54
2889;16
2888;15
2887;53
2886;20
2885;37
2884;31
2883;1
2882;19
2881;34
2880;33
2879;20
2878;46
2877;37
2876;32
2875;31
2874;9
2873;17
2872;34
2871;55
2870;6
2869;40
2868;19
2867;5
2866;17
2865;2
2864;5
2863;32
2862;18
2861;51
2860;5
2859;17
2858;27
2857;50
2856;38
2855;16
2854;13
2853;56
2852;49
2851;54
2850;50
2849;43
2848;19
2847;3
2846;17
2845;54
2844;31
2843;39
2842;51
2841;4
2840;1
2839;47
2838;7
2837;14
2836;10
2835;27
2834;15
2833;3
2832;24
2831;2
2830;1
2829;51
2828;15
2827;11
2826;6
2825;58
2824;16
2823;37
2822;29
2821;33
2820;6
2819;11
2818;10
2817;46
2816;20
2815;50
2814;11
2813;10
2812;27
2811;8
2810;19
2809;15
2808;33
2807;49
2806;11
2805;6
2804;25
2803;1
2802;28
2801;33
2800;50
2799;31
2798;54
2797;15
2796;55
2795;33
2794;9
2793;25
2792;34
2791;43
2790;58
2789;18
2788;23
2787;8
2786;40
2785;59
2784;30
2783;43
2782;25
2781;45
2780;14
2779;32
2778;33
2777;21
2776;37
2775;26
2774;50
2773;57
2772;12
2771;38
2770;21
2769;49
2768;12
2767;47
2766;36
2765;34
2764;42
2763;15
2762;17
2761;34
2760;11
2759;38
2758;37
2757;40
2756;43
2755;13
2754;58
2753;26
2752;47
2751;4
2750;12
2749;25
2748;32
2747;17
2746;56
2745;5
2744;38
2743;30
2742;57
2741;56
2740;16
2739;37
2738;25
2737;45
2736;43
2735;33
2734;27
2733;44
2732;3
2731;45
2730;7
2729;53
2728;51
2727;48
2726;45
2725;10
2724;42
2723;50
2722;46
2721;25
2720;8
2719;30
2718;6
2717;44
2716;5
2715;46
2714;16
2713;26
2712;15
2711;46
2710;6
2709;53
2708;23
2707;57
2706;11
2705;16
2704;52
2703;7
2702;34
2701;15
2700;48
2699;58
2698;19
2697;27
2696;18
2695;32
2694;29
2693;45
2692;59
2691;13
2690;33
2689;20
2688;54
2687;50
2686;59
2685;16
2684;17
2683;23
2682;52
2681;10
2680;46
2679;20
2678;18
2677;32
2676;6
2675;1
2674;8
2673;56
2672;43
2671;57
2670;41
2669;54
2668;57
2667;1
2666;25
2665;37
2664;30
2663;59
2662;34
2661;6
2660;20
2659;46
2658;58
2657;27
2656;58
2655;10
2654;11
2653;32
2652;26
2651;37
2650;9
2649;26
2648;20
2647;43
2646;39
2645;8
2644;28
2643;31
2642;13
2641;34
2640;10
2639;2
2638;9
2637;2
2636;48
2635;11
2634;27
2633;23
2632;27
2631;39
2630;22
2629;32
2628;14
2627;25
2626;52
2625;44
2624;47
2623;37
2622;9
2621;6
2620;28
2619;36
2618;6
2617;43
2616;16
2615;5
2614;8
2613;52
2612;20
2611;12
2610;57
2609;32
2608;24
2607;51
2606;2
2605;26
2604;57
2603;7
2602;14
2601;55
2600;18
2599;47
2598;24
2597;34
2596;34
2595;34
2594;35
2593;39
2592;17
2591;10
2590;12
2589;25
2588;58
2587;23
2586;53
2585;14
2584;1
2583;52
2582;17
2581;36
2580;4
2579;38
2578;39
2577;18
2576;33
2575;41
2574;17
2573;35
2572;50
2571;41
2570;8
2569;52
2568;38
2567;19
2566;59
2565;46
2564;7
2563;38
2562;6
2561;19
2560;4
2559;30
2558;44
2557;33
2556;56
2555;53
2554;49
2553;53
2552;25
2551;29
2550;5
2549;35
2548;15
2547;57
2546;38
2545;23
2544;53
2543;30
2542;20
2541;57
2540;2
2539;32
2538;19
2537;31
2536;22
2535;37
2534;39
2533;18
2532;23
2531;55
2530;44
2529;3
2528;4
2527;8
2526;43
2525;4
2524;20
2523;36
2522;5
2521;38
2520;58
2519;38
2518;53
2517;39
2516;52
2515;19
2514;24
2513;19
2512;7
2511;10
2510;44
2509;60
2508;48
2507;53
2506;29
2505;19
2504;33
2503;3
2502;55
2501;40
2500;39
2499;19
2498;12
2497;23
2496;7
2495;14
2494;53
2493;43
2492;30
2491;22
2490;59
2489;3
2488;56
2487;58
2486;56
2485;32
2484;11
2483;20
2482;45
2481;27
2480;9
2479;15
2478;39
2477;38
2476;32
2475;40
2474;39
2473;18
2472;35
2471;36
2470;40
2469;52
2468;57
2467;34
2466;3
2465;23
2464;56
2463;37
2462;41
2461;8
2460;47
2459;53
2458;45
2457;46
2456;34
2455;56
2454;47
2453;15
2452;58
2451;46
2450;2
2449;21
2448;18
2447;29
2446;41
2445;56
2444;15
2443;17
2442;25
2441;47
2440;33
2439;8
2438;19
2437;48
2436;28
2435;5
2434;1
2433;52
2432;40
2431;22
2430;39
2429;55
2428;39
2427;44
2426;5
2425;49
2424;37
2423;16
2422;20
2421;3
2420;29
2419;50
2418;2
2417;10
2416;7
2415;10
2414;38
2413;41
2412;49
2411;29
2410;27
2409;29
2408;43
2407;54
2406;60
2405;48
2404;54
2403;10
2402;22
2401;48
2400;53
2399;44
2398;54
2397;39
2396;39
2395;12
2394;16
2393;26
2392;11
2391;36
2390;22
2389;40
2388;30
2387;48
2386;16
2385;60
2384;31
2383;13
2382;55
2381;42
2380;24
2379;46
2378;38
2377;29
2376;14
2375;2
2374;12
2373;24
2372;57
2371;15
2370;42
2369;37
2368;4
2367;60
2366;35
2365;1
2364;44
2363;24
2362;3
2361;22
2360;10
2359;32
2358;57
2357;30
2356;25
2355;50
2354;42
2353;41
2352;49
2351;41
2350;41
2349;32
2348;7
2347;8
2346;42
2345;28
2344;25
2343;42
2342;60
2341;42
2340;21
2339;18
2338;23
2337;55
2336;28
2335;23
2334;60
2333;31
2332;36
2331;36
2330;42
2329;55
2328;53
2327;58
2326;10
2325;52
2324;16
2323;59
2322;41
2321;46
2320;42
2319;40
2318;60
2317;8
2316;2
2315;53
2314;49
2313;49
2312;27
2311;3
2310;29
2309;30
2308;13
2307;16
2306;33
2305;22
2304;56
2303;7
2302;22
2301;17
2300;43
2299;44
2298;31
2297;40
2296;1
2295;13
2294;15
2293;37
2292;16
2291;49
2290;18
2289;9
2288;40
2287;56
2286;30
2285;1
2284;14
2283;60
2282;45
2281;27
2280;31
2279;14
2278;45
2277;37
2276;15
2275;36
2274;17
2273;40
2272;2
2271;28
2270;39
