id_sorteio;numero
2900;55
2899;22
2898;30
2897;1
2896;8
2895;9
2894;25
2893;41
2892;36
2891;35
2890;35
2889;40
2888;59
2887;57
2886;59
2885;10
2884;37
2883;60
2882;11
2881;35
2880;15
2879;11
2878;47
2877;54
2876;9
2875;49
2874;53
2873;56
2872;35
2871;19
2870;32
2869;13
2868;26
2867;9
2866;19
2865;25
2864;6
2863;34
2862;2
2861;46
2860;17
2859;20
2858;48
2857;28
2856;48
2855;31
2854;2
2853;4
2852;56
2851;17
2850;15
2849;13
2848;14
2847;53
2846;57
2845;56
2844;54
2843;43
2842;4
2841;36
2840;49
2839;30
2838;29
2837;42
2836;50
2835;54
2834;8
2833;1
2832;37
2831;38
2830;36
2829;13
2828;25
2827;59
2826;54
2825;38
2824;34
2823;21
2822;56
2821;14
2820;15
2819;12
2818;25
2817;60
2816;17
2815;38
2814;54
2813;38
2812;31
2811;45
2810;29
2809;2
2808;41
2807;25
2806;45
2805;1
2804;24
2803;57
2802;26
2801;46
2800;46
2799;60
2798;60
2797;52
2796;6
2795;55
2794;28
2793;37
2792;33
2791;25
2790;42
2789;17
2788;47
2787;36
2786;11
2785;57
2784;59
2783;39
2782;45
2781;55
2780;53
2779;51
2778;34
2777;38
2776;22
2775;14
2774;16
2773;34
2772;41
2771;7
2770;44
2769;10
2768;32
2767;21
2766;38
2765;47
2764;20
2763;19
2762;48
2761;44
2760;19
2759;48
2758;19
2757;54
2756;13
2755;17
2754;44
2753;6
2752;44
2751;53
2750;36
2749;43
2748;46
2747;36
2746;27
2745;2
2744;33
2743;25
2742;25
2741;1
2740;34
2739;19
2738;2
2737;37
2736;24
2735;59
2734;60
2733;56
2732;1
2731;58
2730;41
2729;20
2728;11
2727;4
2726;53
2725;32
2724;26
2723;28
2722;44
2721;11
2720;42
2719;48
2718;59
2717;50
2716;28
2715;53
2714;57
2713;23
2712;7
2711;14
2710;25
2709;23
2708;12
2707;11
2706;17
2705;47
2704;31
2703;35
2702;6
2701;47
2700;28
2699;49
2698;18
2697;13
2696;55
2695;34
2694;7
2693;44
2692;55
2691;40
2690;9
2689;52
2688;41
2687;34
2686;12
2685;9
2684;53
2683;27
2682;17
2681;30
2680;3
2679;38
2678;13
2677;7
2676;19
2675;31
2674;15
2673;52
2672;13
2671;19
2670;33
2669;35
2668;41
2667;21
2666;43
2665;21
2664;17
2663;56
2662;42
2661;30
2660;60
2659;60
2658;13
2657;33
2656;46
2655;49
2654;47
2653;60
2652;23
2651;36
2650;18
2649;11
2648;44
2647;9
2646;41
2645;22
2644;17
2643;56
2642;49
2641;45
2640;28
2639;48
2638;54
2637;10
2636;5
2635;6
2634;28
2633;2
2632;5
2631;14
2630;38
2629;35
2628;5
2627;58
2626;9
2625;9
2624;5
2623;10
2622;50
2621;9
2620;13
2619;50
2618;29
2617;36
2616;6
2615;59
2614;19
2613;26
2612;34
2611;4
2610;10
2609;27
2608;29
2607;11
2606;49
2605;35
2604;17
2603;29
2602;46
2601;34
2600;37
2599;34
2598;14
2597;54
2596;56
2595;1
2594;32
2593;10
2592;34
2591;23
2590;2
2589;16
2588;9
2587;11
2586;41
2585;59
2584;36
2583;2
2582;21
2581;39
2580;3
2579;44
2578;60
2577;22
2576;43
2575;53
2574;48
2573;49
2572;3
2571;38
2570;27
2569;28
2568;49
2567;60
2566;45
2565;25
2564;8
